id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,average_daily_bike_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
1715881199,134,892947564,2019-08-30,2019-09-09,781,,12,StatTrak,25,,24,35,28,31,-79.91884232,40.44270124,Squirrel Hill North,8,14,42003140300,3,14,4,2-18
1717007839,155,296679783,2017-08-04,,,,,Intersection Study,,,,,,,-79.98924526,40.44881881,Strip District,7,2,42003020300,6,2,2,2-3
1719894567,52,647961876,2019-01-02,2019-01-10,5490,,13,StatTrak,25,,33,96,37,39,-79.91556754,40.43463262,Squirrel Hill South,5,14,42003140800,3,14,4,2-21
1748063787,138,2093126519,2019-06-06,,,,,Intersection Study,,,,,,,-79.96322543,40.44463282,North Oakland,8,4,42003982200,3,4,4,2-10
1762392161,117,445302996,2019-07-09,2019-07-12,,,1,StatTrak,25,,31,89,36,39,-80.00378538,40.44698296,North Shore,1,22,42003563200,6,22,1,1-20
1764179882,218,2070392086,2019-11-22,2019-12-04,4016,,3,StatTrak,25,,33,95,37,40,-79.94220469,40.4807247,Stanton Heights,9,10,42003101800,2,10,5,3-5
1767041391,217,1950664877,2019-11-22,2019-12-04,6090,,2,StatTrak,25,,30,76,35,38,-79.93672854,40.48122548,Stanton Heights,7,10,42003101800,2,10,5,3-7
1768576138,75,648748382,2019-03-22,2019-03-29,9405,,11,StatTrak,25,,39,98,45,50,-80.02854943,40.45486521,Manchester,6,21,42003210700,1,21,1,1-8
1778941167,171,755918726,2019-08-01,2019-08-09,8243,,5,StatTrak,25,,31,92,36,39,-79.98340694,40.42169397,South Side Slopes,3,17,42003170600,3,17,3,4-3
1780264395,154,1346599065,2017-11-30,,,,,Intersection Study,,,,,,,-79.96202491,40.43571895,South Oakland,6,4,42003040900,3,4,4,2-10
1783830298,99,644311719,2019-05-28,2019-06-05,927,,2,StatTrak,25,,22,26,28,32,-79.9358625,40.439286,Squirrel Hill North,8,14,42003140100,3,14,4,2-8
1784275556,108,215436152,2019-06-13,2019-06-20,,,,StatTrak,25,,21,8,24,,-79.92935523,40.4806988,Morningside,7,10,42003101400,2,10,5,3-7
181106020,184,2107178505,2019-09-09,2019-09-17,763,,14,StatTrak,25,,22,20,27,30,-80.02645665,40.40951121,Beechview,4,19,42003191600,5,19,6,4-28
1811704043,164,,,,,,,,,,,,,,-79.94499233,40.40869619,Hazelwood,5,15,42003562900,3,15,4,2-13
1831547274,122,404240136,2019-03-02,,,,,Intersection Study,,,,,,,-79.96256825,40.43853938,South Oakland,6,4,42003040900,3,4,4,2-14
1838413170,208,367296608,2019-11-14,2019-12-04,317,,4,StatTrak,25,,22,21,27,30,-79.91835449,40.47036337,Highland Park,7,11,42003110600,2,11,5,3-9
1858604360,43,1603853069,2018-12-04,2018-12-08,768,,2,StatTrak,25,20,19.3,0,19.5,19.8,-79.96113978,40.45873516,Polish Hill,7,6,42003060500,6,6,2,2-6
1885274692,13,563616731,2019-12-12,2019-12-24,4548,,,StatTrak,,,28,,32,35,-79.91541,40.47216898,Highland Park,7,11,42003110600,2,11,5,3-9
1890248654,182,414168419,2019-09-09,2019-09-17,1410,,11,StatTrak,25,,18,1,20,22,-80.01451118,40.48540243,Perry North,1,26,42003260700,1,26,1,1-15
1892724639,206,1551520471,2019-11-14,2019-11-22,2450,,3,StatTrak,25,,25,43,29,32,-79.93147351,40.4350968,Squirrel Hill South,5,14,42003141300,3,14,4,2-21
1901404544,124,1353107740,2019-07-09,,,,,Intersection Study,,,,,,,-79.96308762,40.46819844,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3
1909253901,200,382287114,2019-11-04,2019-11-13,416,,3,StatTrak,25,,22,21,27,30,-79.93259811,40.44978768,Shadyside,8,7,42003070300,2,7,4,3-22
1910901085,211,1129909123,2019-06-11,2019-06-11,,954,Tuesday SPC video count,,,,,,,,-79.9619266,40.42706242,South Side Flats,3,16,42003160900,3,16,3,4-24
1920331937,57,951153209,2019-01-24,2019-01-27,5151,,,StatTrak,25,,30,82,36,40,-79.91268541,40.46014717,Larimer,9,12,42003120800,2,12,5,3-10
1922660255,104,,,,,,,,,,,,,,-79.91220792,40.44320727,Point Breeze,9,14,42003981100,3,14,4,2-18
1927765267,220,2128886737,2019-12-12,2019-12-24,4550,,3,StatTrak,25,,28,77,32,35,-79.95546822,40.44952206,North Oakland,8,4,42003562000,3,4,4,2-7
1931690242,95,670720124,2019-05-16,2019-05-28,,,3,StatTrak,25,,,,,,-79.99753526,40.38585034,Overbrook,4,32,42003320700,5,32,3,4-25
193365102,152,1397392243,2018-04-05,,,,,Intersection Study,,,,,,,-79.9173396,40.45747705,Larimer,9,12,42003120800,2,12,5,3-13
1937275532,15,1524870004,2018-10-18,2018-11-08,,88,,Tube,,,,,,,-79.95222986,40.44355804,North Oakland,8,4,42003982200,3,4,4,2-8
1944653312,214,,,,,,,,,,,,,,-79.92723824,40.41953524,Greenfield,5,15,42003151700,3,15,4,2-12
1949792833,34,423973251,2019-04-19,2019-04-26,13788,,5,StatTrak,25,,38,98,45,50,-79.87884462,40.45609866,East Hills,9,13,42003130600,2,13,5,3-17
1950996584,167,1709615411,2019-08-01,2019-08-09,5831,,1,StatTrak,25,,25,48,30,33,-80.01896038,40.43810096,Duquesne Heights,2,19,42003191100,5,19,3,4-1
1962477925,185,1815733444,2019-09-09,2019-09-17,1468,,5,StatTrak,25,,21,21,27,32,-80.02168961,40.39386195,Brookline,4,19,42003191800,5,19,6,4-26
1970919677,51,152378178,2018-12-28,2019-01-10,5787,,11,StatTrak,25,,28,68,32,36,-79.92516869,40.4710773,East Liberty,9,11,42003111300,2,11,5,3-9
197297885,44,1074767029,2018-12-11,2018-12-20,4301,,1,StatTrak,25,61,27,60,32,36,-80.01344591,40.43285323,Mount Washington,2,19,42003190300,5,19,3,4-1
1978276806,35,1470358683,,,,,,StatTrak,,,,,,,-79.89508807,40.46746757,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18
1991312704,109,1227701093,2019-06-14,2019-06-24,3304,,,StatTrak,25,,,60,31,35,-80.05406427,40.45416573,Sheraden,2,20,42003562500,5,20,6,1-16
1999344253,30,869081196,,,,,,StatTrak,,,,,,,-80.03886571,40.43751249,Elliott,2,20,42003562600,5,20,6,1-17
1999971120,28,821675395,2018-11-20,2018-11-29,1802,,1,StatTrak,25,60,28,71,32,35,-79.93023611,40.48119172,Morningside,7,10,42003101400,2,10,5,3-7
2010535291,32,349231465,2019-10-21,2019-10-29,1049,,1,StatTrak,25,,21,15,25,29,-79.95893404,40.45986096,Polish Hill,7,6,42003060500,6,6,2,2-6
2010764703,112,337528599,2019-06-28,2019-07-05,7579,,12,StatTrak,35,,34,40,39,43,-79.95056556,40.45414752,North Oakland,6,5,42003562000,3,5,4,2-23
2036930509,69,1766709460,2019-02-14,2019-02-19,7621,,6,StatTrak,25,,26,,32,37,-79.94232312,40.44625098,Squirrel Hill North,8,14,42003140100,3,14,4,2-26
2043200367,19,198025605,2018-09-21,2018-10-17,,,,Tube,,,,,,,-80.00353171,40.43277645,South Shore,3,19,42003980700,5,19,3,4-2
2049722358,5,788509482,2018-10-17,2018-10-29,4015,,,StatTrak,25,56,29,81,33,36,-80.01367658,40.43088376,Mount Washington,2,19,42003190300,5,19,3,4-1
2051810147,215,,,,,,,,,,,,,,-79.9714485,40.45971601,Strip District,7,6,42003020300,6,6,2,3-2
2081817713,16,1173781973,2018-10-18,2018-11-08,3580,,,Tube,,,,,,,-79.94878377,40.44199223,North Oakland,8,4,42003982200,3,4,4,2-8
2101056227,39,390219700,2018-06-25,2018-07-11,5327,,,StatTrak,25,49,21,10,24,28,-79.91887807,40.47948497,Highland Park,7,11,42003980100,2,11,5,3-9
2105934554,170,537629304,2019-08-01,2019-08-09,9075,,4,StatTrak,25,,32,91,37,40,-80.00697132,40.42044846,Mount Washington,2,19,42003191500,5,19,3,4-16
2140403077,89,1958633037,,,16711,,,StatTrak,25,,34,90,41,45,-79.98250998,40.45106102,Strip District,7,2,42003020300,6,2,2,2-3
2144656649,145,,,,,,,,,,,,,,-80.02346881,40.41684574,Beechview,4,19,42003191600,5,19,6,4-28
2146294802,194,1598450025,2019-12-12,2019-12-24,5015,,4,StatTrak,25,,32,94,36,39,-79.91097942,40.43563381,Squirrel Hill South,5,14,42003140800,3,14,4,2-21
227010728,90,1841997569,2019-01-14,2019-01-22,2305,,,StatTrak,25,,19,6,23,25,-79.99886586,40.43812771,Central Business District,6,1,42003020100,6,1,2,1-4
227082796,209,1717953508,2019-11-14,2019-12-02,995,,1,,25,,20,9,24,27,-79.91624686,40.47001795,Highland Park,7,11,42003110600,2,11,5,3-9
235210908,139,1849077535,2019-06-06,,,,,Intersection Study,,,,,,,-79.95373577,40.44320393,North Oakland,3,4,42003982200,3,4,4,2-7
249390037,166,,,,,,,,,,,,,,-79.946262,40.46212801,Bloomfield,7,8,42003080900,2,8,5,3-6
26685456,42,1014355185,,,,,,,,,,,,,-79.98255105,40.45456098,Strip District,7,2,42003020300,6,2,2,2-25
275496503,180,1511161277,2019-08-30,2019-09-09,317,,16,StatTrak,25,45,21,22,27,32,-79.92604991,40.46882391,East Liberty,9,11,42003111300,2,11,5,3-8
283927123,160,,,,,,,,,,,,,,-79.9599285,40.439268,Central Oakland,3,4,42003040500,3,4,4,2-14
286504681,119,378111062,2019-07-09,2019-07-18,,,4,StatTrak,25,,,,,,-79.916863,40.44124594,Squirrel Hill North,8,14,42003140300,3,14,4,2-18
